token,icd_code
166,D57 (sickle-cell disorders)
167,D58 (other hereditary haemolytic anaemias)
168,D59 (acquired haemolytic anaemia)
169,D60 (acquired pure red cell aplasia [erythroblastopenia])
170,D61 (other aplastic anaemias)
171,D62 (acute posthaemorrhagic anaemia)
172,D63 (anaemia in chronic diseases classified elsewhere)
173,D64 (other anaemias)
174,D65 (disseminated intravascular coagulation [defibrination syndrome])
175,D66 (hereditary factor viii deficiency)
176,D67 (hereditary factor ix deficiency)
177,D68 (other coagulation defects)
178,D69 (purpura and other haemorrhagic conditions)
179,D70 (agranulocytosis)
180,D71 (functional disorders of polymorphonuclear neutrophils)
181,D72 (other disorders of white blood cells)
182,D73 (diseases of spleen)
183,D74 (methaemoglobinaemia)
184,D75 (other diseases of blood and blood-forming organs)
185,D76 (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
186,D77 (other disorders of blood and blood-forming organs in diseases classified elsewhere)
187,D80 (immunodeficiency with predominantly antibody defects)
188,D81 (combined immunodeficiencies)
189,D82 (immunodeficiency associated with other major defects)
190,D83 (common variable immunodeficiency)
191,D84 (other immunodeficiencies)
192,D86 (sarcoidosis)
193,E01 (iodine-deficiency-related thyroid disorders and allied conditions)
194,E02 (subclinical iodine-deficiency hypothyroidism)
195,E03 (other hypothyroidism)
196,E04 (other non-toxic goitre)
197,E05 (thyrotoxicosis [hyperthyroidism])
198,E06 (thyroiditis)
199,E07 (other disorders of thyroid)
200,E10 (insulin-dependent diabetes mellitus)
201,E11 (non-insulin-dependent diabetes mellitus)
202,E12 (malnutrition-related diabetes mellitus)
203,E13 (other specified diabetes mellitus)
204,E14 (unspecified diabetes mellitus)
205,E15 (nondiabetic hypoglycaemic coma)
206,E16 (other disorders of pancreatic internal secretion)
207,E20 (hypoparathyroidism)
208,E21 (hyperparathyroidism and other disorders of parathyroid gland)
209,E22 (hyperfunction of pituitary gland)
210,E23 (hypofunction and other disorders of pituitary gland)
211,E24 (cushing's syndrome)
212,E25 (adrenogenital disorders)
213,E26 (hyperaldosteronism)
214,E27 (other disorders of adrenal gland)
215,E28 (ovarian dysfunction)
216,E29 (testicular dysfunction)
217,E31 (polyglandular dysfunction)
218,E32 (diseases of thymus)
219,E34 (other endocrine disorders)
220,E35 (disorders of endocrine glands in diseases classified elsewhere)
221,E41 (nutritional marasmus)
222,E43 (unspecified severe protein-energy malnutrition)
223,E44 (protein-energy malnutrition of moderate and mild degree)
224,E45 (retarded development following protein-energy malnutrition)
225,E46 (unspecified protein-energy malnutrition)
226,E50 (vitamin a deficiency)
227,E51 (thiamine deficiency)
228,E52 (niacin deficiency [pellagra])
229,E53 (deficiency of other b group vitamins)
230,E54 (ascorbic acid deficiency)
231,E55 (vitamin d deficiency)
232,E56 (other vitamin deficiencies)
233,E58 (dietary calcium deficiency)
234,E59 (dietary selenium deficiency)
235,E60 (dietary zinc deficiency)
236,E61 (deficiency of other nutrient elements)
237,E63 (other nutritional deficiencies)
238,E64 (sequelae of malnutrition and other nutritional deficiencies)
239,E65 (localised adiposity)
240,E66 (obesity)
241,E67 (other hyperalimentation)
242,E68 (sequelae of hyperalimentation)
243,E70 (disorders of aromatic amino-acid metabolism)
244,E71 (disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
245,E72 (other disorders of amino-acid metabolism)
246,E73 (lactose intolerance)
247,E74 (other disorders of carbohydrate metabolism)
248,E75 (disorders of sphingolipid metabolism and other lipid storage disorders)
249,E76 (disorders of glycosaminoglycan metabolism)
250,E77 (disorders of glycoprotein metabolism)
251,E78 (disorders of lipoprotein metabolism and other lipidaemias)
252,E79 (disorders of purine and pyrimidine metabolism)
253,E80 (disorders of porphyrin and bilirubin metabolism)
254,E83 (disorders of mineral metabolism)
255,E84 (cystic fibrosis)
256,E85 (amyloidosis)
257,E86 (volume depletion)
258,E88 (other metabolic disorders)
259,F00 (dementia in alzheimer's disease)
260,F01 (vascular dementia)
261,F02 (dementia in other diseases classified elsewhere)
262,F03 (unspecified dementia)
263,F06 (other mental disorders due to brain damage and dysfunction and to physical disease)
264,F09 (unspecified organic or symptomatic mental disorder)
265,F10 (mental and behavioural disorders due to use of alcohol)
266,F11 (mental and behavioural disorders due to use of opioids)
267,F12 (mental and behavioural disorders due to use of cannabinoids)
268,F13 (mental and behavioural disorders due to use of sedatives or hypnotics)
269,F14 (mental and behavioural disorders due to use of cocaine)
270,F16 (mental and behavioural disorders due to use of hallucinogens)
271,F17 (mental and behavioural disorders due to use of tobacco)
272,F18 (mental and behavioural disorders due to use of volatile solvents)
273,F19 (mental and behavioural disorders due to multiple drug use and use of other psychoactive substances)
274,F20 (schizophrenia)
275,F21 (schizotypal disorder)
276,F22 (persistent delusional disorders)
277,F23 (acute and transient psychotic disorders)
278,F24 (induced delusional disorder)
279,F25 (schizoaffective disorders)
280,F28 (other nonorganic psychotic disorders)
281,F29 (unspecified nonorganic psychosis)
282,F30 (manic episode)
283,F31 (bipolar affective disorder)
284,F32 (depressive episode)
285,F33 (recurrent depressive disorder)
286,F34 (persistent mood [affective] disorders)
287,F38 (other mood [affective] disorders)
288,F39 (unspecified mood [affective] disorder)
289,F40 (phobic anxiety disorders)
290,F41 (other anxiety disorders)
291,F42 (obsessive-compulsive disorder)
292,F44 (dissociative [conversion] disorders)
293,F45 (somatoform disorders)
294,F48 (other neurotic disorders)
295,F50 (eating disorders)
296,F51 (nonorganic sleep disorders)
297,F54 (psychological and behavioural factors associated with disorders or diseases classified elsewhere)
298,F55 (abuse of non-dependence-producing substances)
299,F59 (unspecified behavioural syndromes associated with physiological disturbances and physical factors)
300,F60 (specific personality disorders)
301,F61 (mixed and other personality disorders)
302,F63 (habit and impulse disorders)
303,F64 (gender identity disorders)
304,F65 (disorders of sexual preference)
305,F66 (psychological and behavioural disorders associated with sexual development and orientation)
306,F68 (other disorders of adult personality and behaviour)
307,F69 (unspecified disorder of adult personality and behaviour)
308,F70 (mild mental retardation)
309,F71 (moderate mental retardation)
310,F72 (severe mental retardation)
311,F78 (other mental retardation)
312,F79 (unspecified mental retardation)
313,F80 (specific developmental disorders of speech and language)
314,F81 (specific developmental disorders of scholastic skills)
315,F82 (specific developmental disorder of motor function)
316,F83 (mixed specific developmental disorders)
317,F84 (pervasive developmental disorders)
318,F88 (other disorders of psychological development)
319,F89 (unspecified disorder of psychological development)
320,F90 (hyperkinetic disorders)
321,F91 (conduct disorders)
322,F92 (mixed disorders of conduct and emotions)
323,F93 (emotional disorders with onset specific to childhood)
324,F94 (disorders of social functioning with onset specific to childhood and adolescence)
325,F95 (tic disorders)
326,F98 (other behavioural and emotional disorders with onset usually occurring in childhood and adolescence)
327,G01 (meningitis in bacterial diseases classified elsewhere)
328,G02 (meningitis in other infectious and parasitic diseases classified elsewhere)
329,G03 (meningitis due to other and unspecified causes)
330,G06 (intracranial and intraspinal abscess and granuloma)
331,G07 (intracranial and intraspinal abscess and granuloma in diseases classified elsewhere)
332,G08 (intracranial and intraspinal phlebitis and thrombophlebitis)
333,G09 (sequelae of inflammatory diseases of central nervous system)
334,G10 (huntington's disease)
335,G11 (hereditary ataxia)
336,G12 (spinal muscular atrophy and related syndromes)
337,G13 (systemic atrophies primarily affecting central nervous system in diseases classified elsewhere)
338,G14 (postpolio syndrome)
339,G20 (parkinson's disease)
340,G21 (secondary parkinsonism)
341,G22 (parkinsonism in diseases classified elsewhere)
342,G23 (other degenerative diseases of basal ganglia)
343,G24 (dystonia)
344,G25 (other extrapyramidal and movement disorders)
345,G30 (alzheimer's disease)
346,G32 (other degenerative disorders of nervous system in diseases classified elsewhere)
347,G35 (multiple sclerosis)
348,G36 (other acute disseminated demyelination)
349,G37 (other demyelinating diseases of central nervous system)
350,G40 (epilepsy)
351,G41 (status epilepticus)
352,G43 (migraine)
353,G44 (other headache syndromes)
354,G45 (transient cerebral ischaemic attacks and related syndromes)
355,G46 (vascular syndromes of brain in cerebrovascular diseases)
356,G47 (sleep disorders)
357,G50 (disorders of trigeminal nerve)
358,G51 (facial nerve disorders)
359,G52 (disorders of other cranial nerves)
360,G53 (cranial nerve disorders in diseases classified elsewhere)
361,G54 (nerve root and plexus disorders)
362,G55 (nerve root and plexus compressions in diseases classified elsewhere)
363,G56 (mononeuropathies of upper limb)
364,G57 (mononeuropathies of lower limb)
365,G58 (other mononeuropathies)
366,G59 (mononeuropathy in diseases classified elsewhere)
367,G60 (hereditary and idiopathic neuropathy)
368,G61 (inflammatory polyneuropathy)
369,G62 (other polyneuropathies)
370,G63 (polyneuropathy in diseases classified elsewhere)
371,G64 (other disorders of peripheral nervous system)
372,G70 (myasthenia gravis and other myoneural disorders)
373,G71 (primary disorders of muscles)
374,G72 (other myopathies)
375,G73 (disorders of myoneural junction and muscle in diseases classified elsewhere)
376,G80 (infantile cerebral palsy)
377,G81 (hemiplegia)
378,G82 (paraplegia and tetraplegia)
379,G83 (other paralytic syndromes)
380,G90 (disorders of autonomic nervous system)
381,G91 (hydrocephalus)
382,G92 (toxic encephalopathy)
383,G93 (other disorders of brain)
384,G94 (other disorders of brain in diseases classified elsewhere)
385,G95 (other diseases of spinal cord)
386,G96 (other disorders of central nervous system)
387,G99 (other disorders of nervous system in diseases classified elsewhere)
388,H00 (hordeolum and chalazion)
389,H01 (other inflammation of eyelid)
390,H02 (other disorders of eyelid)
391,H03 (disorders of eyelid in diseases classified elsewhere)
392,H04 (disorders of lachrymal system)
393,H05 (disorders of orbit)
394,H06 (disorders of lachrymal system and orbit in diseases classified elsewhere)
395,H10 (conjunctivitis)
396,H11 (other disorders of conjunctiva)
397,H13 (disorders of conjunctiva in diseases classified elsewhere)
398,H15 (disorders of sclera)
399,H16 (keratitis)
400,H17 (corneal scars and opacities)
401,H18 (other disorders of cornea)
402,H19 (disorders of sclera and cornea in diseases classified elsewhere)
403,H20 (iridocyclitis)
404,H21 (other disorders of iris and ciliary body)
405,H22 (disorders of iris and ciliary body in diseases classified elsewhere)
406,H25 (senile cataract)
407,H26 (other cataract)
408,H27 (other disorders of lens)
409,H28 (cataract and other disorders of lens in diseases classified elsewhere)
410,H30 (chorioretinal inflammation)
411,H31 (other disorders of choroid)
412,H32 (chorioretinal disorders in diseases classified elsewhere)
413,H33 (retinal detachments and breaks)
414,H34 (retinal vascular occlusions)
415,H35 (other retinal disorders)
416,H36 (retinal disorders in diseases classified elsewhere)
417,H40 (glaucoma)
418,H42 (glaucoma in diseases classified elsewhere)
419,H43 (disorders of vitreous body)
420,H44 (disorders of globe)
421,H45 (disorders of vitreous body and globe in diseases classified elsewhere)
422,H46 (optic neuritis)
423,H47 (other disorders of optic [2nd] nerve and visual pathways)
424,H48 (disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere)
425,H49 (paralytic strabismus)
426,H50 (other strabismus)
427,H51 (other disorders of binocular movement)
428,H52 (disorders of refraction and accommodation)
429,H53 (visual disturbances)
430,H54 (blindness and low vision)
431,H55 (nystagmus and other irregular eye movements)
432,H57 (other disorders of eye and adnexa)
433,H58 (other disorders of eye and adnexa in diseases classified elsewhere)
434,H60 (otitis externa)
435,H61 (other disorders of external ear)
436,H62 (disorders of external ear in diseases classified elsewhere)
437,H65 (nonsuppurative otitis media)
438,H66 (suppurative and unspecified otitis media)
439,H67 (otitis media in diseases classified elsewhere)
440,H68 (eustachian salpingitis and obstruction)
441,H69 (other disorders of eustachian tube)
442,H70 (mastoiditis and related conditions)
443,H71 (cholesteatoma of middle ear)
444,H72 (perforation of tympanic membrane)
445,H73 (other disorders of tympanic membrane)
446,H74 (other disorders of middle ear and mastoid)
447,H75 (other disorders of middle ear and mastoid in diseases classified elsewhere)
448,H80 (otosclerosis)
449,H81 (disorders of vestibular function)
450,H82 (vertiginous syndromes in diseases classified elsewhere)
451,H83 (other diseases of inner ear)
452,H90 (conductive and sensorineural hearing loss)
453,H91 (other hearing loss)
454,H92 (otalgia and effusion of ear)
455,H94 (other disorders of ear in diseases classified elsewhere)
456,I00 (rheumatic fever without mention of heart involvement)
457,I01 (rheumatic fever with heart involvement)
458,I02 (rheumatic chorea)
459,I05 (rheumatic mitral valve diseases)
460,I06 (rheumatic aortic valve diseases)
461,I07 (rheumatic tricuspid valve diseases)
462,I08 (multiple valve diseases)
463,I09 (other rheumatic heart diseases)
464,I10 (essential (primary) hypertension)
465,I11 (hypertensive heart disease)
466,I12 (hypertensive renal disease)
467,I13 (hypertensive heart and renal disease)
468,I15 (secondary hypertension)
469,I20 (angina pectoris)
470,I21 (acute myocardial infarction)
471,I22 (subsequent myocardial infarction)
472,I23 (certain current complications following acute myocardial infarction)
473,I24 (other acute ischaemic heart diseases)
474,I25 (chronic ischaemic heart disease)
475,I26 (pulmonary embolism)
476,I27 (other pulmonary heart diseases)
477,I28 (other diseases of pulmonary vessels)
478,I30 (acute pericarditis)
479,I31 (other diseases of pericardium)
480,I32 (pericarditis in diseases classified elsewhere)
481,I33 (acute and subacute endocarditis)
482,I34 (nonrheumatic mitral valve disorders)
