token,icd_code
725,M16 (coxarthrosis [arthrosis of hip])
726,M17 (gonarthrosis [arthrosis of knee])
727,M18 (arthrosis of first carpometacarpal joint)
728,M19 (other arthrosis)
729,M20 (acquired deformities of fingers and toes)
730,M21 (other acquired deformities of limbs)
731,M22 (disorders of patella)
732,M23 (internal derangement of knee)
733,M24 (other specific joint derangements)
734,M30 (polyarteritis nodosa and related conditions)
735,M31 (other necrotising vasculopathies)
736,M32 (systemic lupus erythematosus)
737,M33 (dermatopolymyositis)
738,M34 (systemic sclerosis)
739,M35 (other systemic involvement of connective tissue)
740,M36 (systemic disorders of connective tissue in diseases classified elsewhere)
741,M40 (kyphosis and lordosis)
742,M41 (scoliosis)
743,M42 (spinal osteochondrosis)
744,M43 (other deforming dorsopathies)
745,M45 (ankylosing spondylitis)
746,M46 (other inflammatory spondylopathies)
747,M47 (spondylosis)
748,M48 (other spondylopathies)
749,M49 (spondylopathies in diseases classified elsewhere)
750,M50 (cervical disk disorders)
751,M51 (other intervertebral disk disorders)
752,M54 (dorsalgia)
753,M60 (myositis)
754,M61 (calcification and ossification of muscle)
755,M62 (other disorders of muscle)
756,M63 (disorders of muscle in diseases classified elsewhere)
757,M65 (synovitis and tenosynovitis)
758,M66 (spontaneous rupture of synovium and tendon)
759,M67 (other disorders of synovium and tendon)
760,M68 (disorders of synovium and tendon in diseases classified elsewhere)
761,M71 (other bursopathies)
762,M72 (fibroblastic disorders)
763,M73 (soft tissue disorders in diseases classified elsewhere)
764,M75 (shoulder lesions)
765,M77 (other enthesopathies)
766,M80 (osteoporosis with pathological fracture)
767,M81 (osteoporosis without pathological fracture)
768,M82 (osteoporosis in diseases classified elsewhere)
769,M83 (adult osteomalacia)
770,M84 (disorders of continuity of bone)
771,M85 (other disorders of bone density and structure)
772,M86 (osteomyelitis)
773,M87 (osteonecrosis)
774,M88 (paget's disease of bone [osteitis deformans])
775,M89 (other disorders of bone)
776,M90 (osteopathies in diseases classified elsewhere)
777,M91 (juvenile osteochondrosis of hip and pelvis)
778,M92 (other juvenile osteochondrosis)
779,M93 (other osteochondropathies)
780,M94 (other disorders of cartilage)
781,M95 (other acquired deformities of musculoskeletal system and connective tissue)
782,N00 (acute nephritic syndrome)
783,N01 (rapidly progressive nephritic syndrome)
784,N02 (recurrent and persistent haematuria)
785,N03 (chronic nephritic syndrome)
786,N04 (nephrotic syndrome)
787,N05 (unspecified nephritic syndrome)
788,N06 (isolated proteinuria with specified morphological lesion)
789,N08 (glomerular disorders in diseases classified elsewhere)
790,N10 (acute tubulo-interstitial nephritis)
791,N11 (chronic tubulo-interstitial nephritis)
792,N13 (obstructive and reflux uropathy)
793,N14 (drug- and heavy-metal-induced tubulo-interstitial and tubular conditions)
794,N15 (other renal tubulo-interstitial diseases)
795,N16 (renal tubulo-interstitial disorders in diseases classified elsewhere)
796,N17 (acute renal failure)
797,N18 (chronic renal failure)
798,N19 (unspecified renal failure)
799,N20 (calculus of kidney and ureter)
800,N21 (calculus of lower urinary tract)
801,N22 (calculus of urinary tract in diseases classified elsewhere)
802,N23 (unspecified renal colic)
803,N25 (disorders resulting from impaired renal tubular function)
804,N26 (unspecified contracted kidney)
805,N27 (small kidney of unknown cause)
806,N29 (other disorders of kidney and ureter in diseases classified elsewhere)
807,N30 (cystitis)
808,N32 (other disorders of bladder)
809,N33 (bladder disorders in diseases classified elsewhere)
810,N34 (urethritis and urethral syndrome)
811,N35 (urethral stricture)
812,N36 (other disorders of urethra)
813,N37 (urethral disorders in diseases classified elsewhere)
814,N39 (other disorders of urinary system)
815,N40 (hyperplasia of prostate)
816,N41 (inflammatory diseases of prostate)
817,N42 (other disorders of prostate)
818,N43 (hydrocele and spermatocele)
819,N44 (torsion of testis)
820,N45 (orchitis and epididymitis)
821,N46 (male infertility)
822,N48 (other disorders of penis)
823,N50 (other disorders of male genital organs)
824,N51 (disorders of male genital organs in diseases classified elsewhere)
825,N60 (benign mammary dysplasia)
826,N61 (inflammatory disorders of breast)
827,N62 (hypertrophy of breast)
828,N63 (unspecified lump in breast)
829,N64 (other disorders of breast)
830,N70 (salpingitis and oophoritis)
831,N72 (inflammatory disease of cervix uteri)
832,N73 (other female pelvic inflammatory diseases)
833,N74 (female pelvic inflammatory disorders in diseases classified elsewhere)
834,N75 (diseases of bartholin's gland)
835,N76 (other inflammation of vagina and vulva)
836,N77 (vulvovaginal ulceration and inflammation in diseases classified elsewhere)
837,N80 (endometriosis)
838,N81 (female genital prolapse)
839,N82 (fistulae involving female genital tract)
840,N84 (polyp of female genital tract)
841,N86 (erosion and ectropion of cervix uteri)
842,N87 (dysplasia of cervix uteri)
843,N88 (other noninflammatory disorders of cervix uteri)
844,N89 (other noninflammatory disorders of vagina)
845,N90 (other noninflammatory disorders of vulva and perineum)
846,N93 (other abnormal uterine and vaginal bleeding)
847,N94 (pain and other conditions associated with female genital organs and menstrual cycle)
848,N95 (menopausal and other perimenopausal disorders)
849,N96 (habitual aborter)
850,N97 (female infertility)
851,N98 (complications associated with artificial fertilisation)
852,O00 (ectopic pregnancy)
853,O01 (hydatidiform mole)
854,O02 (other abnormal products of conception)
855,O03 (spontaneous abortion)
856,O04 (medical abortion)
857,O05 (other abortion)
858,O06 (unspecified abortion)
859,O07 (failed attempted abortion)
860,O08 (complications following abortion and ectopic and molar pregnancy)
861,O11 (pre-existing hypertensive disorder with superimposed proteinuria)
862,O12 (gestational [pregnancy-induced] oedema and proteinuria without hypertension)
863,O13 (gestational [pregnancy-induced] hypertension without significant proteinuria)
864,O14 (gestational [pregnancy-induced] hypertension with significant proteinuria)
865,O15 (eclampsia)
866,O16 (unspecified maternal hypertension)
867,O20 (haemorrhage in early pregnancy)
868,O21 (excessive vomiting in pregnancy)
869,O22 (venous complications in pregnancy)
870,O23 (infections of genito-urinary tract in pregnancy)
871,O24 (diabetes mellitus in pregnancy)
872,O25 (malnutrition in pregnancy)
873,O26 (maternal care for other conditions predominantly related to pregnancy)
874,O28 (abnormal findings on antenatal screening of mother)
875,O29 (complications of anaesthesia during pregnancy)
876,O30 (multiple gestation)
877,O31 (complications specific to multiple gestation)
878,O32 (maternal care for known or suspected malpresentation of foetus)
879,O33 (maternal care for known or suspected disproportion)
880,O34 (maternal care for known or suspected abnormality of pelvic organs)
881,O35 (maternal care for known or suspected foetal abnormality and damage)
882,O36 (maternal care for other known or suspected foetal problems)
883,O40 (polyhydramnios)
884,O41 (other disorders of amniotic fluid and membranes)
885,O42 (premature rupture of membranes)
886,O43 (placental disorders)
887,O44 (placenta praevia)
888,O45 (premature separation of placenta [abruptio placentae])
889,O47 (false labour)
890,O48 (prolonged pregnancy)
891,O60 (preterm delivery)
892,O61 (failed induction of labour)
893,O62 (abnormalities of forces of labour)
894,O63 (long labour)
895,O64 (obstructed labour due to malposition and malpresentation of foetus)
896,O65 (obstructed labour due to maternal pelvic abnormality)
897,O66 (other obstructed labour)
898,O68 (labour and delivery complicated by foetal stress [distress])
899,O69 (labour and delivery complicated by umbilical cord complications)
900,O70 (perineal laceration during delivery)
901,O71 (other obstetric trauma)
902,O72 (postpartum haemorrhage)
903,O74 (complications of anaesthesia during labour and delivery)
904,O80 (single spontaneous delivery)
905,O81 (single delivery by forceps and vacuum extractor)
906,O82 (single delivery by caesarean section)
907,O83 (other assisted single delivery)
908,O84 (multiple delivery)
909,O85 (puerperal sepsis)
910,O86 (other puerperal infections)
911,O87 (venous complications in the puerperium)
912,O88 (obstetric embolism)
913,O89 (complications of anaesthesia during the puerperium)
914,O91 (infections of breast associated with childbirth)
915,O92 (other disorders of breast and lactation associated with childbirth)
916,O96 (death from any obstetric cause occurring more than 42 days but less than one year after delivery)
917,P00 (foetus and newborn affected by maternal conditions that may be unrelated to present pregnancy)
918,P03 (foetus and newborn affected by other complications of labour and delivery)
919,P04 (foetus and newborn affected by noxious influences transmitted via placenta or breast milk)
920,P05 (slow foetal growth and foetal malnutrition)
921,P08 (disorders related to long gestation and high birth weight)
922,P10 (intracranial laceration and haemorrhage due to birth injury)
923,P11 (other birth injuries to central nervous system)
924,P12 (birth injury to scalp)
925,P13 (birth injury to skeleton)
926,P14 (birth injury to peripheral nervous system)
927,P15 (other birth injuries)
928,P20 (intra-uterine hypoxia)
929,P21 (birth asphyxia)
930,P22 (respiratory distress of newborn)
931,P23 (congenital pneumonia)
932,P24 (neonatal aspiration syndromes)
933,P25 (interstitial emphysema and related conditions originating in the perinatal period)
934,P26 (pulmonary haemorrhage originating in the perinatal period)
935,P27 (chronic respiratory disease originating in the perinatal period)
936,P28 (other respiratory conditions originating in the perinatal period)
937,P29 (cardiovascular disorders originating in the perinatal period)
938,P35 (congenital viral diseases)
939,P36 (bacterial sepsis of newborn)
940,P37 (other congenital infectious and parasitic diseases)
941,P38 (omphalitis of newborn with or without mild haemorrhage)
942,P39 (other infections specific to the perinatal period)
943,P50 (foetal blood loss)
944,P51 (umbilical haemorrhage of newborn)
945,P52 (intracranial nontraumatic haemorrhage of foetus and newborn)
946,P53 (haemorrhagic disease of foetus and newborn)
947,P54 (other neonatal haemorrhages)
948,P55 (haemolytic disease of foetus and newborn)
949,P58 (neonatal jaundice due to other excessive haemolysis)
950,P59 (neonatal jaundice from other and unspecified causes)
951,P61 (other perinatal haematological disorders)
952,P70 (transitory disorders of carbohydrate metabolism specific to foetus and newborn)
953,P71 (transitory neonatal disorders of calcium and magnesium metabolism)
954,P78 (other perinatal digestive system disorders)
955,P83 (other conditions of integument specific to foetus and newborn)
956,P91 (other disturbances of cerebral status of newborn)
957,P92 (feeding problems of newborn)
958,P94 (disorders of muscle tone of newborn)
959,P95 (foetal death of unspecified cause)
960,P96 (other conditions originating in the perinatal period)
961,Q00 (anencephaly and similar malformations)
962,Q01 (encephalocele)
963,Q02 (microcephaly)
964,Q03 (congenital hydrocephalus)
965,Q04 (other congenital malformations of brain)
966,Q05 (spina bifida)
967,Q06 (other congenital malformations of spinal cord)
968,Q07 (other congenital malformations of nervous system)
969,Q12 (congenital lens malformations)
970,Q13 (congenital malformations of anterior segment of eye)
971,Q14 (congenital malformations of posterior segment of eye)
972,Q15 (other congenital malformations of eye)
973,Q16 (congenital malformations of ear causing impairment of hearing)
974,Q17 (other congenital malformations of ear)
975,Q18 (other congenital malformations of face and neck)
976,Q20 (congenital malformations of cardiac chambers and connexions)
977,Q21 (congenital malformations of cardiac septa)
978,Q22 (congenital malformations of pulmonary and tricuspid valves)
979,Q23 (congenital malformations of aortic and mitral valves)
980,Q24 (other congenital malformations of heart)
981,Q25 (congenital malformations of great arteries)
982,Q26 (congenital malformations of great veins)
983,Q27 (other congenital malformations of peripheral vascular system)
984,Q28 (other congenital malformations of circulatory system)
985,Q30 (congenital malformations of nose)
986,Q31 (congenital malformations of larynx)
987,Q32 (congenital malformations of trachea and bronchus)
988,Q33 (congenital malformations of lung)
989,Q34 (other congenital malformations of respiratory system)
990,Q35 (cleft palate)
991,Q36 (cleft lip)
992,Q37 (cleft palate with cleft lip)
993,Q39 (congenital malformations of oesophagus)
994,Q40 (other congenital malformations of upper alimentary tract)
995,Q43 (other congenital malformations of intestine)
996,Q45 (other congenital malformations of digestive system)
997,Q51 (congenital malformations of uterus and cervix)
998,Q52 (other congenital malformations of female genitalia)
999,Q53 (undescended testicle)
1000,Q54 (hypospadias)
1001,Q55 (other congenital malformations of male genital organs)
1002,Q56 (indeterminate sex and pseudohermaphroditism)
1003,Q60 (renal agenesis and other reduction defects of kidney)
1004,Q61 (cystic kidney disease)
1005,Q62 (congenital obstructive defects of renal pelvis and congenital malformations of ureter)
1006,Q63 (other congenital malformations of kidney)
1007,Q64 (other congenital malformations of urinary system)
1008,Q65 (congenital deformities of hip)
1009,Q66 (congenital deformities of feet)
1010,Q68 (other congenital musculoskeletal deformities)
1011,Q69 (polydactyly)
1012,Q70 (syndactyly)
1013,Q71 (reduction defects of upper limb)
1014,Q72 (reduction defects of lower limb)
1015,Q73 (reduction defects of unspecified limb)
1016,Q74 (other congenital malformations of limb(s))
1017,Q75 (other congenital malformations of skull and face bones)
1018,Q76 (congenital malformations of spine and bony thorax)
1019,Q77 (osteochondrodysplasia with defects of growth of tubular bones and spine)
1020,Q78 (other osteochondrodysplasias)
1021,Q80 (congenital ichthyosis)
1022,Q81 (epidermolysis bullosa)
1023,Q82 (other congenital malformations of skin)
1024,Q83 (congenital malformations of breast)
1025,Q84 (other congenital malformations of integument)
1026,Q87 (other specified congenital malformation syndromes affecting multiple systems)
1027,Q90 (down's syndrome)
1028,Q91 (edwards' syndrome and patau's syndrome)
1029,Q96 (turner's syndrome)
1030,CXX Unknown Cancer
1031,C00 Malignant neoplasm of lip
1032,C01 Malignant neoplasm of base of tongue
1033,C02 Malignant neoplasm of other and unspecified parts of tongue
1034,C03 Malignant neoplasm of gum
1035,C04 Malignant neoplasm of floor of mouth
1036,C05 Malignant neoplasm of palate
1037,C06 Malignant neoplasm of other and unspecified parts of mouth
1038,C07 Malignant neoplasm of parotid gland
1039,C08 Malignant neoplasm of other and unspecified major salivary glands
1040,C09 Malignant neoplasm of tonsil
1041,C10 Malignant neoplasm of oropharynx
1042,C11 Malignant neoplasm of nasopharynx
1043,C12 Malignant neoplasm of pyriform sinus
1044,C13 Malignant neoplasm of hypopharynx
1045,C15 Malignant neoplasm of oesophagus
1046,C16 Malignant neoplasm of stomach
1047,C17 Malignant neoplasm of small intestine
1048,C18 Malignant neoplasm of colon
1049,C19 Malignant neoplasm of rectosigmoid junction
1050,C20 Malignant neoplasm of rectum
1051,C21 Malignant neoplasm of anus and anal canal
1052,C22 Malignant neoplasm of liver and intrahepatic bile ducts
1053,C23 Malignant neoplasm of gallbladder
1054,C24 Malignant neoplasm of other and unspecified parts of biliary tract
1055,C25 Malignant neoplasm of pancreas
1056,C26 Malignant neoplasm of other and ill-defined digestive organs
1057,C30 Malignant neoplasm of nasal cavity and middle ear
1058,C31 Malignant neoplasm of accessory sinuses
1059,C32 Malignant neoplasm of larynx
1060,C33 Malignant neoplasm of trachea
1061,C34 Malignant neoplasm of bronchus and lung
1062,C37 Malignant neoplasm of thymus
1063,C39 Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
1064,C40 Malignant neoplasm of bone and articular cartilage of limbs
1065,C41 Malignant neoplasm of bone and articular cartilage of other and unspecified sites
1066,C42 hematopoietic and reticuloendothelial systems (ICD-O-3 specific)
1067,C43 Malignant melanoma of skin
1068,C44 Other malignant neoplasms of skin
1069,C45 Mesothelioma
1070,C46 Kaposi's sarcoma
1071,C47 Malignant neoplasm of peripheral nerves and autonomic nervous system
1072,C48 Malignant neoplasm of retroperitoneum and peritoneum
1073,C49 Malignant neoplasm of other connective and soft tissue
1074,C50 Malignant neoplasm of breast
1075,C51 Malignant neoplasm of vulva
1076,C52 Malignant neoplasm of vagina
1077,C53 Malignant neoplasm of cervix uteri
1078,C54 Malignant neoplasm of corpus uteri
1079,C56 Malignant neoplasm of ovary
1080,C57 Malignant neoplasm of other and unspecified female genital organs
1081,C58 Malignant neoplasm of placenta
1082,C60 Malignant neoplasm of penis
1083,C61 Malignant neoplasm of prostate
1084,C62 Malignant neoplasm of testis
1085,C63 Malignant neoplasm of other and unspecified male genital organs
1086,C65 Malignant neoplasm of renal pelvis
1087,C66 Malignant neoplasm of ureter
1088,C67 Malignant neoplasm of bladder
1089,C68 Malignant neoplasm of other and unspecified urinary organs
1090,C69 Malignant neoplasm of eye and adnexa
1091,C70 Malignant neoplasm of meninges
1092,C71 Malignant neoplasm of brain
1093,C73 Malignant neoplasm of thyroid gland
1094,C74 Malignant neoplasm of adrenal gland
1095,C75 Malignant neoplasm of other endocrine glands and related structures
1096,C76 Malignant neoplasm of other and ill-defined sites
1097,C77 Secondary and unspecified malignant neoplasm of lymph nodes
1098,C78 Secondary malignant neoplasm of respiratory and digestive organs
1099,C79 Secondary malignant neoplasm of other sites
1100,C80 Malignant neoplasm without specification of site
1101,C81 Hodgkin's disease
1102,C82 Follicular [nodular] non-Hodgkin's lymphoma
1103,C83 Diffuse non-Hodgkin's lymphoma
1104,C84 Peripheral and cutaneous T-cell lymphomas
1105,C85 Other and unspecified types of non-Hodgkin's lymphoma
1106,C86 Other specified types of T/NK-cell lymphoma
1107,C88 Malignant immunoproliferative diseases
1108,C90 Multiple myeloma and malignant plasma cell neoplasms
1109,C91 Lymphoid leukaemia
1110,C92 Myeloid leukaemia
1111,C93 Monocytic leukaemia
1112,C94 Other leukaemias of specified cell type
1113,C95 Leukaemia of unspecified cell type
1114,C97 Malignant neoplasms of independent (primary) multiple sites
1115,D01 Carcinoma in situ of other and unspecified digestive organs
1116,D02 Carcinoma in situ of middle ear and respiratory system
1117,D03 Melanoma in situ
1118,D04 Carcinoma in situ of skin
1119,D05 Carcinoma in situ of breast
1120,D06 Carcinoma in situ of cervix uteri
1121,D07 Carcinoma in situ of other and unspecified genital organs
1122,D09 Carcinoma in situ of other and unspecified sites
1123,D10 Benign neoplasm of mouth and pharynx
1124,D11 Benign neoplasm of major salivary glands
1125,D13 Benign neoplasm of other and ill-defined parts of digestive system
1126,D15 Benign neoplasm of other and unspecified intrathoracic organs
1127,D16 Benign neoplasm of bone and articular cartilage
1128,D27 Benign neoplasm of ovary
1129,D30 Benign neoplasm of urinary organs
1130,D32 Benign neoplasm of meninges
1131,D33 Benign neoplasm of brain and other parts of central nervous system
1132,D34 Benign neoplasm of thyroid gland
1133,D35 Benign neoplasm of other and unspecified endocrine glands
1134,D36 Benign neoplasm of other and unspecified sites
1135,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
1136,D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
1137,D39 Neoplasm of uncertain or unknown behaviour of female genital organs
1138,D40 Neoplasm of uncertain or unknown behaviour of male genital organs
1139,D41 Neoplasm of uncertain or unknown behaviour of urinary organs
1140,D42 Neoplasm of uncertain or unknown behaviour of meninges
1141,D43 Neoplasm of uncertain or unknown behaviour of brain and central nervous system
1142,D44 Neoplasm of uncertain or unknown behaviour of endocrine glands
1143,D45 Polycythaemia vera
1144,D46 Myelodysplastic syndromes
1145,D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites
1146,O01 Hydatidiform mole38
1147,Death
